disease name,treatment
dermatofironoma,"Typically, dermatofibromas are chronic and don’t spontaneously resolve on their own. Because they are harmless, treatment is usually solely for cosmetic reasons.

Treatment options for dermatofibromas include:

freezing (with liquid nitrogen)
localized corticosteroid injection
laser therapy
shaving the top to flatten the growth

Never attempt removal of a growth at home. This can lead to infection, scarring, and excess bleeding.
"
eczema asteatotic,"Consider factors that have caused dry skin: bathe less frequently, use a cream cleanser instead of soap, do not expose skin to direct heat.
Apply thick emollients and moisturisers such as petroleum jelly/petrolatum or oily cream several times daily — after a few days, thinner ones such as non-ionic cream should be adequate.
Apply mild topical steroid cream or ointment to reddened skin for a few days; hydrocortisone cream or ointment is often sufficient.
A more potent topical steroid may be necessary if the eczema is severe."
flexural psoriasis,"Calcipotriol cream is an effective and safe treatment for psoriasis in the flexures and should be applied twice daily. If it irritates, it can be applied once daily and hydrocortisone cream 12 hours later."
Foot corn,"The important thing is to relieve the pressure on the affected area of skin.

Choose well-fitting, comfortable, flat footwear.
Use leather gloves for repetitive tasks that injure the skin.
Apply a protective corn plaster or cushion to apply pressure more evenly around the affected area to reduce friction.
Separate toes using soft cotton, lamb's wool, moleskin or web spacers to relieve pressure.
Special orthotics may be made to measure.
Reduce skin thickness.

Sandpaper, file or pumice the surface (this is easier when the skin has been soaked in warm water for 10 minutes or longer).
Pare down the surface using a specially designed corn trimmer to remove the central core.
Apply keratolytic creams or heel balms containing urea, salicylic acid or lactic acid.
Ease the discomfort of painful cracks (fissures)

Apply a thick, lubricating ointment such as petroleum jelly.
Seal the surface with adhesive such as Liquid Bandage™ or nail glue.
Use antibiotic ointment in case of infection
Cover with a thick adhesive plaster."
melanocytic nevi,"Most melanocytic naevi are harmless and can be safely left alone. They may be removed in the following circumstances:

To exclude cancer
If a naevus is a nuisance: perhaps irritated by clothing, comb or razor
Cosmetic reasons: the mole is unsightly."
rosacea,"General measures
Where possible, reduce factors causing facial flushing.
Avoid oil-based facial creams. Use water-based make-up.
Never apply a topical steroid to the rosacea as although short-term improvement may be observed (vasoconstriction and anti-inflammatory effect), it makes the rosacea more severe over the next weeks (possibly by increased production of nitric oxide).
Protect yourself from the sun. Use light oil-free facial sunscreens.
Keep your face cool to reduce flushing: minimise your exposure to hot or spicy foods, alcohol, hot showers and baths and warm rooms.
Some people find they can reduce facial redness for short periods by holding an ice block in their mouth, between the gum and cheek

Metronidazole cream or gel can be used intermittently or long-term on its own for mild inflammatory rosacea and in combination with oral antibiotics for more severe cases.
Azelaic acid cream or lotion is also effective for mild inflammatory rosacea, applied twice daily to affected areas.
Brimonidine gel, an alpha-2 adrenergic agonist, and oxymetazoline hydrochloride cream, an alpha1A adrenoceptor agonist, reduce facial redness temporarily. 
Ivermectin cream can be used in the treatment of papulopustular rosacea. It controls demodex mites and is anti-inflammatory.
"
seborrheic keratosis,"An individual seborrhoeic keratosis can easily be removed if desired. Reasons for removal may be that it is unsightly, itchy, or catches on clothing.

Methods used to remove seborrhoeic keratoses include:

Cryotherapy (liquid nitrogen) for thinner lesions (repeated if necessary)
Curettage and/or electrocautery
Ablative laser surgery
Shave biopsy (shaving off with a scalpel)
Focal chemical peel with trichloracetic acid
All methods have disadvantages. Treatment-induced loss of pigmentation is a particular issue for dark-skinned patients. There is no easy way to remove multiple lesions on a single occasion.
"
keloid,"    Some keloids respond to topically applied silicone sheeting.
    There has been some success in treating small earlobe keloids with pressure or ""clip-on"" earrings.
    Inflamed keloids often respond to steroid injections near the site. There is a risk of thinning of the skin (atrophy) with steroid injections. Alternative therapies include:

    Freezing (cryosurgery) plus steroid injections.
    Surgery plus radiation therapy to the affected area. Surgical removal (excision) of keloids may lead to the keloid coming back (recurring) larger than it was before the excision.
    Laser therapy with a pulsed-dye laser to actively expanding lesions.
    Other injectable agents, such as interferon alpha and gamma. "
boils," Applying warm compresses to the affected area on the patient for 20 minutes at least 3–4 times a day may ease the discomfort and help encourage the boil to drain. If the boil starts to drain, wash the area with antibacterial soap and apply some triple antibiotic ointment and a loose bandage. Repeat this process of cleansing and bandaging the area 2–3 times a day until the skin is healed.

Boils can be very contagious. Do not allow the patient to share clothing, towels, bedding, or sporting equipment with others while he or she has a boil. Wash your patient's hands frequently with antibacterial hand soap to avoid spreading the infection to others.

Have the patient use an antibacterial soap on boil-prone areas when showering, and dry the skin thoroughly after bathing. The patient should avoid tight-fitting clothing and activities that cause a great deal of sweating.

Do not pop the boil yourself or allow the patient to pop the boil with a pin or needle. Doing so may make the infection worse..The pus inside a boil needs to be drained thoroughly before the body can completely clear the infection. If the boil does not drain itself, maybe perform a simple procedure. In this procedure, a sterile needle or small blade is used to ""nick"" the skin over the top of the boil, and the pus is allowed to drain out. The area will then be cleaned and bandaged, and wash, apply antibacterial ointment, and re-bandage the area on the area several times daily as discussed above. The patient may also be prescribed a course of antibiotics to be taken by mouth. The pus for laboratory analysis and swabs from other areas of the body (nose, armpits, and/or anus and genital area) may need to be collected to determine if he or she is a carrier of staph. If the patient is a carrier, the doctor may prescribe a topical medication applied to the inside of the nose and/or oral antibiotics for several days. These measures can help to prevent a recurrence of the boil(s) and to decrease the possibility that the patient may unknowingly spread the germ to others. If your patient's doctor prescribes antibiotics, be sure the patient takes the full course of treatment."
Striae,"Stretch marks appearing during the teen years (adolescence) often improve in appearance with time. No treatment is needed.
Where applicable, stop using topical corticosteroid creams in the patient's skin area.
Over-the-counter creams are useless.
If the stretch marks are cosmetically distressing, early red areas can be treated. If the appearance of the early lesions is bothersome, tretinoin cream may improve the appearance. Laser treatments and chemical peels may also be used. If the diagnosis is not certain, a biopsy and blood tests might be done."
