sl.no,Name,Symptoms,,,,,,
1,acne vulgaris,"Acne results in a variety of lesions. The most common acne locations include the face, neck, chest, and back, where the most sebaceous glands are located. Along the jaw line is a common location in adults. ""Blackheads"" (open comedones) and ""whiteheads"" (closed comedones) are follicular plugs that are either sitting below the skin surface (whitehead) or oxidized from being exposed to the air (blackhead). Papules are small pink to reddish-brown bumps, pustules are pus-filled lesions, and nodules or cysts are deeper pus-filled lesions. Mild acne consists of a few papules/pustules and/or comedones. Moderate acne has an increased number of lesions. Severe acne has numerous comedones, papules, pustules, and may have painful nodules. Acne can result in permanent scars, which can appear to be depressions in the skin or hyperpigmentation, which is dark red or brown flat marks where the acne lesions were.",,,,,,
1,acne vulgaris,"Acne, also known as acne vulgaris, is thought to be caused by multiple factors. Overproduction of a normal oil on the skin, called sebum, increases under the influence of hormones. This, coupled with insufficient shedding of exfoliating dead skin cells, plugs hair follicles. The plugged follicle can become inflamed and have increased growth of normal skin bacteria, Propionibacterium acnes. Medications such as lithium, cortisone, hormones, iodides, some seizure medications, or isoniazid can also cause acne lesions. There is no cure for acne, but certain measures can help prevent more breakouts. Acne can result in scarring, so minimizing breakouts is important.",,,,,,
1,acne vulgaris,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents. Diagnosis is by examination. Treatment, based on severity, can involve a variety of topical and systemic agents directed at reducing sebum production, comedone formation, inflammation, and bacterial counts and at normalizing keratinization.",,,,,,
1,acne vulgaris,"Skin lesions and scarring can be a source of significant emotional distress. Nodules and cysts can be painful. Lesion types frequently coexist at different stages. Comedones appear as whiteheads or blackheads. Whiteheads (closed comedones) are flesh-colored or whitish palpable lesions 1 to 3 mm in diameter; blackheads (open comedones) are similar in appearance but with a dark center. Papules and pustules are red lesions 2 to 5 mm in diameter. Papules are relatively deep. Pustules are more superficial. Nodules are larger, deeper, and more solid than papules. Such lesions resemble inflamed epidermoid cysts, although they lack true cystic structure. Cysts are suppurative nodules. Rarely, cysts form deep abscesses. Long-term cystic acne can cause scarring that manifests as tiny and deep pits (icepick scars), larger pits, shallow depressions, or hypertrophic scarring or keloids. ",,,,,,
1,acne vulgaris,"Acne most often affects the face, but it may spread to involve the neck, chest and back, and sometimes even more extensively over the body. Individual lesions are centred on the pilosebaceous unit, ie the hair follicle and its associated oil gland. Several types of acne spots occur, often at the same time. They may be inflamed papules, pustules and nodules; or non-inflamed comedones and pseudocysts.",,,,,,
1,acne vulgaris,"Acne vulgaris is a common chronic skin disease involving blockage and/or inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne can present as noninflammatory lesions, inflammatory lesions, or a mixture of both, affecting mostly the face but also the back and chest.",,,,,,
1,acne vulgaris,"Acne, also known as acne vulgaris, is a long-term skin condition that occurs when dead skin cells and oil from the skin clog hair follicles.[10] Typical features of the condition include blackheads or whiteheads, pimples, oily skin, and possible scarring.[1][2][11] It primarily affects skin with a relatively high number of oil glands, including the face, upper part of the chest, and back",,,,,,
1,acne vulgaris,"Typical features of acne include increased secretion of oily sebum by the skin, microcomedones, comedones, papules, nodules (large papules), pustules, and often results in scarring.[29][30] The appearance of acne varies with skin color. It may result in psychological and social problems.",,,,,,
1,acne vulgaris,"Acne scars are caused by inflammation within the dermis and are estimated to affect 95% of people with acne vulgaris.[31] Abnormal healing and dermal inflammation create the scar.[32] Scarring is most likely to take place with severe acne but may occur with any form of acne vulgaris.[31] Acne scars are classified based on whether the abnormal healing response following dermal inflammation leads to excess collagen deposition or loss at the site of the acne lesion. Atrophic acne scars have lost collagen from the healing response and are the most common type of acne scar (accounting for approximately 75% of all acne scars).[32][33] Ice-pick scars, boxcar scars, and rolling scars are subtypes of atrophic acne scars.[31] Boxcar scars are round or ovoid indented scars with sharp borders and vary in size from 1.5–4 mm across.[32] Ice-pick scars are narrow (less than 2 mm across), deep scars that extend into the dermis.[32] Rolling scars are broader than ice-pick and boxcar scars (4–5 mm across) and have a wave-like pattern of depth in the skin. Hypertrophic scars are uncommon and are characterized by increased collagen content after the abnormal healing response.[32] They are described as firm and raised from the skin.[32][34] Hypertrophic scars remain within the original margins of the wound, whereas keloid scars can form scar tissue outside of these borders.[32] Keloid scars from acne occur more often in men and people with darker skin, and usually occur on the trunk of the body.",,,,,,
1,acne vulgaris,"After an inflamed nodular acne lesion resolves, it is common for the skin to darken in that area, which is known as postinflammatory hyperpigmentation (PIH). The inflammation stimulates specialized pigment-producing skin cells (known as melanocytes) to produce more melanin pigment, which leads to the skin's darkened appearance.[35] PIH occurs more frequently in people with darker skin color.[36] Pigmented scar is a common term used for PIH, but is misleading as it suggests the color change is permanent. Often, PIH can be prevented by avoiding any aggravation of the nodule and can fade with time. However, untreated PIH can last for months, years, or even be permanent if deeper layers of skin are affected.[37] Even minimal skin exposure to the sun's ultraviolet rays can sustain hyperpigmentation.[35] Daily use of SPF 15 or higher sunscreen can minimize such a risk.",,,,,,
1,acne vulgaris,"Acne vulgaris is an inflammatory disorder of pilosebaceous unit, which runs a chronic course and it is self-limiting. Acne vulgaris is triggered by propionibacterium acnes in adolescence, under the influence of normal circulating dehydroepiandrosterone. It is a very common skin disorder which can present with inflammatory and non-inflammatory lesions. This activity reviews the etiology, evaluation, and management of acne vulgaris and highlights the role of the interprofessional team in caring for patients with this condition",,,,,,
1,acne vulgaris,"Acne vulgaris is a skin condition that occurs when hair follicles are blocked with dead skin cells, bacteria, and oil (sebum). The blocked follicles cause blemishes on the skin, including pimples, blackheads, whiteheads, and cysts. Also known as common acne, one of its main causes is hormones, especially around puberty.",,,,,,
1,acne vulgaris,"Most acne occurs on the face, chest, back, and shoulders. Symptoms can be mild, moderate, or severe. If you have mild acne, you probably have less than 20 blackheads or whiteheads. Whiteheads are small flesh-colored or whitish blemishes, while blackheads have a dark center. You might also develop pimples, which are round, inflamed whiteheads on the skin. If you have moderate acne, you’ll have a larger number of blackheads, whiteheads, and pimples.Severe acne may include widespread blemishes with nodules or cysts, which are larger and more solid than pimples. Nodules and cysts tend to be more painful than pimples. ",,,,,,
1,acne vulgaris,"Acne vulgaris is caused by a combination of hormones, oil, and bacteria. During puberty, a hormone called androgen increases and the sebaceous glands produce more of the oily substance sebum. Typically, sebum and dead skin cells come up through the hair follicles and out through the pores in the skin. When sebum, skins cells, and bacteria clog the follicles, the sebum can’t escape through the pores, which causes acne.",,,,,,
1,acne vulgaris,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples. Acne is most common among teenagers, though it affects people of all ages. Effective acne treatments are available, but acne can be persistent. The pimples and bumps heal slowly, and when one begins to go away, others seem to crop up. Depending on its severity, acne can cause emotional distress and scar the skin. The earlier you start treatment, the lower your risk of such problems.",,,,,,
1,acne vulgaris,"Acne signs vary depending on the severity of your condition: Whiteheads (closed plugged pores) Blackheads (open plugged pores) Small red, tender bumps (papules) Pimples (pustules), which are papules with pus at their tips Large, solid, painful lumps under the skin (nodules) Painful, pus-filled lumps under the skin (cystic lesions) Acne usually appears on the face, forehead, chest, upper back and shoulders.",,,,,,
1,acne vulgaris,"Four main factors cause acne: Excess oil (sebum) production Hair follicles clogged by oil and dead skin cells Bacteria Inflammation Acne typically appears on your face, forehead, chest, upper back and shoulders because these areas of skin have the most oil (sebaceous) glands. Hair follicles are connected to oil glands. The follicle wall may bulge and produce a whitehead. Or the plug may be open to the surface and darken, causing a blackhead. A blackhead may look like dirt stuck in pores. But actually the pore is congested with bacteria and oil, which turns brown when it's exposed to the air. Pimples are raised red spots with a white center that develop when blocked hair follicles become inflamed or infected with bacteria. Blockages and inflammation deep inside hair follicles produce cystlike lumps beneath the surface of your skin. Other pores in your skin, which are the openings of the sweat glands, aren't usually involved in acne.",,,,,,
1,acne vulgaris,"The typical symptoms of acne are blackheads (comedones), pimples, or nodes of the skin. The spots are often on the face, but other parts of the body can also be affected, such as shoulders, back, and chest. They usually occur in groups. The skin around and above these spots is sometimes reddened and painful. Over time, the affected skin may become darker or scarred. Only in extremely rare and severe cases do symptoms such as fever, joint pain, and general fatigue occur. Since acne often represents a psychological burden for those affected, additional symptoms can occur, such as depression, anxiety, and social isolation.",,,,,,
1,acne vulgaris,"closed comedones (""whiteheads""): small round lesions containing whitish material (sebum and dead skin cells). open comedones: small round lesions that look like dark spots on the surface Affected areas are red and can be painful A) Mild/moderate acne: Small, reddish spots and bumps that may be filled with pus and have developed from comedones B) Nodulocystic acne: Most severe form of acne Palpable hardenings and knots of the skin larger than 5 mm and usually lie in the area of the back and neck Scars may form during healing",,,,,,
2,alopecia,"Alopecia areata is a condition that causes hair to fall out in small patches, which can be unnoticeable. These patches may connect, however, and then become noticeable. The condition develops when the immune system attacks the hair follicles, resulting in hair loss.Sudden hair loss may occur on the scalp, and in some cases the eyebrows, eyelashes, and face, as well as other parts of the body. It can also develop slowly and recur after years between instances. The condition can result in total hair loss, called alopecia universalis, and it can prevent hair from growing back. When hair does grow back, it’s possible for the hair to fall out again. The extent of hair loss and regrowth varies from person to person. There’s currently no cure for alopecia areata. However, there are treatments that may help hair grow back more quickly and that can prevent future hair loss, as well as unique ways to cover up the hair loss. Resources are also available to help people cope with stress related to hair loss.",,,,,,
2,alopecia,"The main symptom of alopecia areata is hair loss. Hair usually falls out in small patches on the scalp. These patches are often several centimeters or less. Hair loss might also occur on other parts of the face, like the eyebrows, eyelashes, and beard, as well as other parts of the body. Some people lose hair in a few places. Others lose it in a lot of spots. You may first notice clumps of hair on your pillow or in the shower. If the spots are on the back of your head, someone may bring it to your attention. However, other health conditions can also cause hair to fall out in a similar pattern. Hair loss alone isn’t used to diagnose alopecia areata. The hair loss associated with alopecia areata is unpredictable and, as far as doctors and researchers can tell, appears to be spontaneous Trusted Source. The hair may grow back at any time and then may fall out again. The extent of hair loss and regrowth varies greatly from person to person.",,,,,,
2,alopecia,"Alopecia areata is believed to be an autoimmune disease resulting from a breach in the immune privilege of the hair follicles.[4] Risk factors include a family history of the condition.[2] Among identical twins, if one is affected, the other has about a 50% chance of also being affected.[2] The underlying mechanism involves failure by the body to recognize its own cells with subsequent immune mediated destruction of the hair follicle.[2]",,,,,,
2,alopecia,"Typical first symptoms of alopecia areata are small bald patches. The underlying skin is unscarred and looks superficially normal. Although these patches can take many shapes, they are usually round or oval.[6] Alopecia areata most often affects the scalp and beard, but may occur on any part of the body with hair.[7] Different areas of the skin may exhibit hair loss and regrowth at the same time. The disease may also go into remission for a time, or may be permanent. It is common in children. The area of hair loss may tingle or be painful.[8] The hair tends to fall out over a short period of time, with the loss commonly occurring more on one side of the scalp than the other. Exclamation point hairs, narrower along the length of the strand closer to the base, producing a characteristic ""exclamation point"" appearance, are often present.[9] These hairs are very short (3–4 mm), and can be seen surrounding the bald patches. When healthy hair is pulled out, at most a few should come out, and ripped hair should not be distributed evenly across the tugged portion of the scalp. In cases of alopecia areata, hair tends to pull out more easily along the edge of the patch where the follicles are already being attacked by the body's immune system than away from the patch where they are still healthy. Nails may have pitting or trachyonychia.",,,,,,
